"doc_id"	"term"	"freq"
"875"	"1"	"mano"	16
"876"	"1"	"respirare"	1
"877"	"1"	"contento"	8
"878"	"1"	"tardi"	6
"879"	"1"	"adeso"	1
"880"	"1"	"serra"	1
"881"	"1"	"facare"	2
"882"	"1"	"paurito"	1
"883"	"1"	"barista"	2
"884"	"1"	"ombrello"	2
"885"	"1"	"mercoledio"	1
"886"	"1"	"vestito"	7
"887"	"1"	"mangiare"	24
"888"	"1"	"cena"	7
"889"	"1"	"vuoto"	2
"890"	"1"	"instire"	1
"891"	"1"	"spiro"	1
"892"	"1"	"cappelo"	2
"893"	"1"	"fortuna"	3
"894"	"1"	"Verdi"	2
"895"	"1"	"andere"	2
"896"	"1"	"venerdì"	5
"897"	"1"	"luna"	1
"898"	"1"	"accompagnare"	3
"899"	"1"	"lì"	2
"900"	"1"	"ancora"	24
"901"	"1"	"ombro"	1
"902"	"1"	"Marcello"	1
"903"	"1"	"restituire"	1
"904"	"1"	"portafoglio"	2
"905"	"1"	"Francesco"	4
"906"	"1"	"famoso"	3
"907"	"1"	"passegiata"	2
"908"	"1"	"rapido"	2
"909"	"1"	"sorprettere"	1
"910"	"1"	"accrire"	1
"911"	"1"	"servante"	1
"912"	"1"	"dimeticare"	1
"913"	"1"	"riggere"	1
"914"	"1"	"oggi"	15
"915"	"1"	"pressa"	1
"916"	"1"	"poiperché"	2
"917"	"1"	"appuntamento"	2
"918"	"1"	"perfetto"	9
"919"	"1"	"pericoloso"	1
"920"	"1"	"|"	1
"921"	"1"	"mminile"	1
"922"	"1"	"vostro"	8
"923"	"1"	"giro"	4
"924"	"1"	"eccellente"	1
"925"	"1"	"freddo"	5
"926"	"1"	"calmare"	2
"927"	"1"	"Accelero"	1
"928"	"1"	"perseguire"	1
"929"	"1"	"Aaa"	2
"930"	"1"	"um"	1
"931"	"1"	"bracio"	1
"932"	"1"	"terribile"	4
"933"	"1"	"Dimentico"	1
"934"	"1"	"restaurare"	1
"935"	"1"	"stupido"	2
"936"	"1"	"stazione"	61
"937"	"1"	"Italia"	34
"938"	"1"	"pomeriggio"	23
"939"	"1"	"treno"	48
"940"	"1"	"Roma"	8
"941"	"1"	"ritardo"	6
"942"	"1"	"cane"	30
"943"	"1"	"dapprima"	2
"944"	"1"	"trare"	1
"945"	"1"	"evidentemente"	2
"946"	"1"	"matto"	1
"947"	"1"	"rompere"	4
"948"	"1"	"presto"	15
"949"	"1"	"nervoso"	4
"950"	"1"	"sotto"	7
"951"	"1"	"morito"	1
"952"	"1"	"Termini"	1
"953"	"1"	"affollare"	2
"954"	"1"	"dappertutto"	3
"955"	"1"	"confuzione"	1
"956"	"1"	"arrabbiare"	16
"957"	"1"	"metro"	2
"958"	"1"	"venti"	3
"959"	"1"	"Maria"	2
"960"	"1"	"Emilio"	1
"961"	"1"	"congedare"	3
"962"	"1"	"Firenze"	2
"963"	"1"	"borseggia|"	1
"964"	"1"	"tore"	1
"965"	"1"	"portamoneta"	1
"966"	"1"	"cagnolino"	11
"967"	"1"	"bianco"	13
"968"	"1"	"banchina"	3
"969"	"1"	"abbarire"	1
"970"	"1"	"senzatetto"	3
"971"	"1"	"intorno"	11
"972"	"1"	"meravigliare"	2
"973"	"1"	"valigia"	32
"974"	"1"	"spaccare"	1
"975"	"1"	"occasione"	6
"976"	"1"	"borseggiatore"	1
"977"	"1"	"povero"	14
"978"	"1"	"triste"	4
"979"	"1"	"tremendo"	1
"980"	"1"	"centrale"	5
"981"	"1"	"Milano"	1
"982"	"1"	"casino"	7
"983"	"1"	"giornaliero"	1
"984"	"1"	"sta"	1
"985"	"1"	"oppure"	27
"986"	"1"	"appena"	16
"987"	"1"	"chissà"	1
"988"	"1"	"barbone"	6
"989"	"1"	"speranza"	2
"990"	"1"	"soldo"	4
"991"	"1"	"avanzo"	2
"992"	"1"	"cibo"	13
"993"	"1"	"vecchio"	13
"994"	"1"	"pagina"	5
"995"	"1"	"servire"	10
"996"	"1"	"tavolo"	16
"997"	"1"	"sù"	1
"998"	"1"	"scatola"	8
"999"	"1"	"salume"	2
"1000"	"1"	"panne"	1
"1001"	"1"	"senso"	8
"1002"	"1"	"rubare"	11
"1003"	"1"	"scapare"	1
"1004"	"1"	"padrona"	3
"1005"	"1"	"tavola|tavolo"	6
"1006"	"1"	"cappottato"	1
"1007"	"1"	"guardare"	48
"1008"	"1"	"partenze"	2
"1009"	"1"	"salire"	10
"1010"	"1"	"pian"	2
"1011"	"1"	"posto"	41
"1012"	"1"	"necessario"	5
"1013"	"1"	"partenza"	4
"1014"	"1"	"arrivo"	4
"1015"	"1"	"chare"	2
"1016"	"1"	"Giuseppe"	1
"1017"	"1"	"sessanta"	1
"1018"	"1"	"famiglia"	17
"1019"	"1"	"senzapatrio"	1
"1020"	"1"	"osservare"	7
"1021"	"1"	"amante"	6
"1022"	"1"	"interessante"	17
"1023"	"1"	"riparatore"	1
"1024"	"1"	"impalare"	1
"1025"	"1"	"affliggere"	1
"1026"	"1"	"coleo"	1
"1027"	"1"	"moglie"	3
"1028"	"1"	"dollente"	1
"1029"	"1"	"anziannare"	1
"1030"	"1"	"ribaltare"	1
"1031"	"1"	"spappolare"	1
"1032"	"1"	"riso"	4
"1033"	"1"	"dipendere"	15
"1034"	"1"	"certo"	14
"1035"	"1"	"esempio"	24
"1036"	"1"	"bacciare"	5
"1037"	"1"	"perdere"	18
"1038"	"1"	"propabilmente"	1
"1039"	"1"	"cercavere"	1
"1040"	"1"	"quindy"	1
"1041"	"1"	"attento"	4
"1042"	"1"	"lunedire"	1
"1043"	"1"	"mendicare"	2
"1044"	"1"	"insolito"	3
"1045"	"1"	"suocera"	4
"1046"	"1"	"nuora"	3
"1047"	"1"	"Litigare"	1
"1048"	"1"	"comprare"	7
"1049"	"1"	"regalo"	7
"1050"	"1"	"nipote"	4
"1051"	"1"	"bambino"	17
"1052"	"1"	"arrabiato"	1
"1053"	"1"	"gettare"	2
"1054"	"1"	"esgetere"	1
"1055"	"1"	"borsaiolo"	2
"1056"	"1"	"derubare"	1
"1057"	"1"	"spavento"	1
"1058"	"1"	"conten|"	1
"1059"	"1"	"ferire"	3
"1060"	"1"	"scarpa"	6
"1061"	"1"	"aspeto"	1
"1062"	"1"	"20"	2
"1063"	"1"	"min"	1
"1064"	"1"	"aspetare"	2
"1065"	"1"	"Bere"	1
"1066"	"1"	"cafè"	2
"1067"	"1"	"guardo"	2
"1068"	"1"	"situatione"	1
"1069"	"1"	"bacia"	1
"1070"	"1"	"allanere"	1
"1071"	"1"	"vechiare"	1
"1072"	"1"	"salame"	3
"1073"	"1"	"disordine"	9
"1074"	"1"	"entro"	2
"1075"	"1"	"lunedio"	1
"1076"	"1"	"edificio"	3
"1077"	"1"	"autobus"	4
"1078"	"1"	"Genova"	1
"1079"	"1"	"bacio"	3
"1080"	"1"	"passato"	4
"1081"	"1"	"reparare"	1
"1082"	"1"	"rovinare"	1
"1083"	"1"	"berretto"	5
"1084"	"1"	"godere"	7
"1085"	"1"	"sigaretta"	4
"1086"	"1"	"tuttavia"	1
"1087"	"1"	"sensazione"	1
"1088"	"1"	"copere"	1
"1089"	"1"	"dintorni"	1
"1090"	"1"	"errore"	4
"1091"	"1"	"approfittare"	2
"1092"	"1"	"cappotto"	2
"1093"	"1"	"nero"	13
"1094"	"1"	"calzone"	1
"1095"	"1"	"disattento"	1
"1096"	"1"	"cappetto"	1
"1097"	"1"	"commincare"	1
"1098"	"1"	"millicometro"	1
"1099"	"1"	"possiano"	1
"1100"	"1"	"diveso"	1
"1101"	"1"	"spesso"	19
"1102"	"1"	"inammorato"	1
"1103"	"1"	"manchare"	1
"1104"	"1"	"soli"	1
"1105"	"1"	"frettare"	1
"1106"	"1"	"vivo"	2
"1107"	"1"	"sporco"	6
"1108"	"1"	"Sg"	1
"1109"	"1"	"odora"	1
"1110"	"1"	"tecnico"	4
"1111"	"1"	"controllare"	4
"1112"	"1"	"mancare"	5
"1113"	"1"	"magiore"	1
"1114"	"1"	"mia"	7
"1115"	"1"	"principesso"	1
"1116"	"1"	"raga|"	1
"1117"	"1"	"zzo"	1
"1118"	"1"	"bracciamo"	1
"1119"	"1"	"trappola"	1
"1120"	"1"	"zetto"	1
"1121"	"1"	"piatto"	17
"1122"	"1"	"angolo"	4
"1123"	"1"	"sta|"	1
"1124"	"1"	"zione"	1
"1125"	"1"	"pesto"	2
"1126"	"1"	"gride"	1
"1127"	"1"	"Taffete"	1
"1128"	"1"	"Patatrac"	1
"1129"	"1"	"caffè"	5
"1130"	"1"	"tè"	1
"1131"	"1"	"crema"	6
"1132"	"1"	"pelliccia"	1
"1133"	"1"	"tantare"	1
"1134"	"1"	"vetro"	3
"1135"	"1"	"Hm"	1
"1136"	"1"	"salsicia"	1
"1137"	"1"	"fegato"	1
"1138"	"1"	"coteletta"	1
"1139"	"1"	"pan|"	1
"1140"	"1"	"cetto"	1
"1141"	"1"	"sanguinaccio"	1
"1142"	"1"	"prosciutto"	4
"1143"	"1"	"specialita"	1
"1144"	"1"	"accanto"	7
"1145"	"1"	"guisto"	1
"1146"	"1"	"specialite"	1
"1147"	"1"	"ola"	1
"1148"	"1"	"prestare"	1
"1149"	"1"	"orrore"	1
"1150"	"1"	"ah"	2
"1151"	"1"	"inventare"	4
"1152"	"1"	"invenzione"	1
"1153"	"1"	"coca"	1
"1154"	"1"	"cola"	1
"1155"	"1"	"fuj"	1
"1156"	"1"	"las"	1
"1157"	"1"	"carpa"	3
"1158"	"1"	"gardino"	1
"1159"	"1"	"terzo"	4
"1160"	"1"	"quarto"	1
"1161"	"1"	"quinto"	2
"1162"	"1"	"sesto"	1
"1163"	"1"	"settimo"	1
"1164"	"1"	"uf"	1
"1165"	"1"	"af"	1
"1166"	"1"	"ottavo"	1
"1167"	"1"	"nere"	1
"1168"	"1"	"decimo"	1
"1169"	"1"	"undicesimo"	1
"1170"	"1"	"porta"	3
"1171"	"1"	"aria"	9
"1172"	"1"	"fresco"	6
"1173"	"1"	"Piutosto"	1
"1174"	"1"	"passeggio"	1
"1175"	"1"	"cagno"	1
"1176"	"1"	"bau"	2
"1177"	"1"	"Carlo"	10
"1178"	"1"	"asto"	6
"1179"	"1"	"rano"	2
"1180"	"1"	"Berta"	10
"1181"	"1"	"vicino"	24
"1182"	"1"	"&"	4
"1183"	"1"	"ragazzino"	4
"1184"	"1"	"Luigi"	30
"1185"	"1"	"rana"	2
"1186"	"1"	"scappare"	15
"1187"	"1"	"botiglia"	4
"1188"	"1"	"asta"	14
"1189"	"1"	"p"	2
"1190"	"1"	"tro"	2
"1191"	"1"	"varlare"	2
"1192"	"1"	"finestra"	3
"1193"	"1"	"{"	2
"1194"	"1"	"}"	2
"1195"	"1"	"giardino"	4
"1196"	"1"	"Fortunamente"	2
"1197"	"1"	"gravemente"	3
"1198"	"1"	"poere"	2
"1199"	"1"	"baiare"	2
"1200"	"1"	"desperamente"	2
"1201"	"1"	"Hanno"	2
"1202"	"1"	"Fra"	2
"1203"	"1"	"ape"	4
"1204"	"1"	"piangere"	8
"1205"	"1"	"tronco"	6
"1206"	"1"	"f"	3
"1207"	"1"	"barrabbiare"	2
"1208"	"1"	"g"	10
"1209"	"1"	"distruggere"	3
"1210"	"1"	"n"	2
"1211"	"1"	"porre"	4
"1212"	"1"	"nescondere"	2
"1213"	"1"	"sbrigare"	2
"1214"	"1"	"cacciare"	2
"1215"	"1"	"piccol"	2
"1216"	"1"	"ino"	2
"1217"	"1"	"collina"	4
"1218"	"1"	"ucello"	2
"1219"	"1"	"caccia"	2
"1220"	"1"	"grosso"	3
"1221"	"1"	"attenzione"	13
"1222"	"1"	"strare"	3
"1223"	"1"	"sconosciuto"	5
"1224"	"1"	"animale"	4
"1225"	"1"	"port"	2
"1226"	"1"	"butare"	3
"1227"	"1"	"insieme"	23
"1228"	"1"	"buco"	5
"1229"	"1"	"acqua"	19
"1230"	"1"	"cadu"	4
"1231"	"1"	"u"	3
"1232"	"1"	"splash"	2
"1233"	"1"	"infatti"	12
"1234"	"1"	"qu"	2
"1235"	"1"	"ess"	2
"1236"	"1"	"gr"	2
"1237"	"1"	"spaventoso"	2
"1238"	"1"	"sopravedere"	4
"1239"	"1"	"sopra"	13
"1240"	"1"	"sorpresa"	7
"1241"	"1"	"avv"	2
"1242"	"1"	"Berto"	2
"1243"	"1"	"xo"	2
"1244"	"1"	"fin"	2
"1245"	"1"	"notare"	3
"1246"	"1"	"chiachierare"	2
"1247"	"1"	"Prima"	2
"1248"	"1"	"salutare"	9
"1249"	"1"	"Gio"	2
"1250"	"1"	"avventura"	2
"1251"	"1"	"stancho"	2
"1252"	"1"	"scrivare"	2
"1253"	"1"	"descrivere"	3
"1254"	"1"	"disegno"	3
"1255"	"1"	"usare"	24
"1256"	"1"	"almeno"	11
"1257"	"1"	"100"	3
"1258"	"1"	"iniziare"	13
"1259"	"1"	"#079"	1
"1260"	"1"	"sedare"	1
"1261"	"1"	"gazzetta"	1
"1262"	"1"	"spella"	1
"1263"	"1"	"incidente"	1
"1264"	"1"	"K.O."	1
"1265"	"1"	"preoccupare"	3
"1266"	"1"	"situazioni"	1
"1267"	"1"	"lato"	4
"1268"	"1"	"destro"	3
"1269"	"1"	"meccanico"	5
"1270"	"1"	"dii"	1
"1271"	"1"	"binario"	7
"1272"	"1"	"valiggia"	1
"1273"	"1"	"valiggere"	1
"1274"	"1"	"attorn"	1
"1275"	"1"	"sinistra"	6
"1276"	"1"	"é"	77
"1277"	"1"	"fuga"	2
"1278"	"1"	"rovesciare"	10
"1279"	"1"	"bottiglia"	5
"1280"	"1"	"an"	1
"1281"	"1"	"bagnare"	2
"1282"	"1"	"pro"	1
"1283"	"1"	"marito"	11
"1284"	"1"	"invitante"	1
"1285"	"1"	"persino"	1
"1286"	"1"	"fondo"	5
"1287"	"1"	"biglietteria"	1
"1288"	"1"	"biglietto"	3
"1289"	"1"	"eské"	1
"1290"	"1"	"Budéjovice"	2
"1291"	"1"	"piazza"	16
"1292"	"1"	"principale"	5
"1293"	"1"	"sudboemo"	2
"1294"	"1"	"fondare"	3
"1295"	"1"	"1265"	2
"1296"	"1"	"P"	1
"1297"	"1"	"emysl"	1
"1298"	"1"	"Otakar"	4
"1299"	"1"	"II"	4
"1300"	"1"	"arco"	2
"1301"	"1"	"secolo"	2
"1302"	"1"	"subire"	3
"1303"	"1"	"vario"	10
"1304"	"1"	"cambiamento"	2
"1305"	"1"	"architettonico"	2
"1306"	"1"	"Prémysl"	3
"1307"	"1"	"quadratto"	2
"1308"	"1"	"superficie"	3
"1309"	"1"	"hetaro"	2
"1310"	"1"	"portico"	4
"1311"	"1"	"stile"	3
"1312"	"1"	"barocco"	2
"1313"	"1"	"centro"	14
"1314"	"1"	"fontana"	4
"1315"	"1"	"personaggio"	3
"1316"	"1"	"mitico"	2
"1317"	"1"	"Samson"	2
"1318"	"1"	"leggenda"	2
"1319"	"1"	"orientazione"	2
"1320"	"1"	"municipio"	2
"1321"	"1"	"qualsiasi"	6
"1322"	"1"	"curioso"	6
"1323"	"1"	"mercato"	2
"1324"	"1"	"entrare"	4
"1325"	"1"	"stupendo"	3
"1326"	"1"	"salone"	2
"1327"	"1"	"tavolata"	2
"1328"	"1"	"orchestra"	2
"1329"	"1"	"stanzettere"	2
"1330"	"1"	"entrata"	2
"1331"	"1"	"forma"	5
"1332"	"1"	"natalizio"	2
"1333"	"1"	"pino"	4
"1334"	"1"	"decorato"	2
"1335"	"1"	"presepe"	2
"1336"	"1"	"piazzo"	2
"1337"	"1"	"artigiano"	2
"1338"	"1"	"usanza"	2
"1339"	"1"	"abitudine"	3
"1340"	"1"	"vigiglia"	2
"1341"	"1"	"Natale"	4
"1342"	"1"	"Cecchi"	2
"1343"	"1"	"impanato"	2
"1344"	"1"	"pesce"	2
"1345"	"1"	"vendere"	2
"1346"	"1"	"pescatore"	2
"1347"	"1"	"tino"	2
"1348"	"1"	"scaldare"	3
"1349"	"1"	"rum"	3
"1350"	"1"	"speciale"	7
"1351"	"1"	"neve"	2
"1352"	"1"	"imagine"	2
"1353"	"1"	"natalizia"	2
"1354"	"1"	"indimenticabile"	4
"1355"	"1"	"Ceské"	1
"1356"	"1"	"Lavorare"	1
"1357"	"1"	"campo"	3
"1358"	"1"	"nonostante"	3
"1359"	"1"	"mancanza"	2
"1360"	"1"	"succedé"	1
"1361"	"1"	"miracolo"	1
"1362"	"1"	"nascere"	3
"1363"	"1"	"afamato"	1
"1364"	"1"	"Neotesànek"	3
"1365"	"1"	"giocare"	1
"1366"	"1"	"crescere"	2
"1367"	"1"	"mangare"	1
"1368"	"1"	"genitore"	7
"1369"	"1"	"debolo"	1
"1370"	"1"	"èrare"	1
"1371"	"1"	"ingoiò"	1
"1372"	"1"	"ricerca"	1
"1373"	"1"	"Mangiò"	1
"1374"	"1"	"quelo"	2
"1375"	"1"	"atraversare"	1
"1376"	"1"	"contadino"	2
"1377"	"1"	"volla"	1
"1378"	"1"	"disfare"	1
"1379"	"1"	"zappa"	1
"1380"	"1"	"coloro"	1
"1381"	"1"	"pausa"	4
"1382"	"1"	"Improvisamente"	2
"1383"	"1"	"rapito"	1
"1384"	"1"	"sostenere"	2
"1385"	"1"	"delitto"	1
"1386"	"1"	"bastonare"	1
"1387"	"1"	"criminale"	2
"1388"	"1"	"Adendere"	1
"1389"	"1"	"immediare"	1
"1390"	"1"	"azione"	2
"1391"	"1"	"lamentare"	6
"1392"	"1"	"viso"	2
"1393"	"1"	"pranzo"	7
"1394"	"1"	"giare"	2
"1395"	"1"	"organizzare"	4
"1396"	"1"	"incontro"	3
"1397"	"1"	"agguantare"	1
"1398"	"1"	"trent"	1
"1399"	"1"	"occhialuto"	1
"1400"	"1"	"puÃ²"	5
"1401"	"1"	"papero"	1
"1402"	"1"	"adatto"	4
"1403"	"1"	"natura"	10
"1404"	"1"	"Leggere"	1
"1405"	"1"	"egli"	1
"1406"	"1"	"gornale"	1
"1407"	"1"	"dattorno"	1
"1408"	"1"	"stupefarre"	1
"1409"	"1"	"riflettere"	3
"1410"	"1"	"auitare"	1
"1411"	"1"	"tattuaggio"	2
"1412"	"1"	"impressione"	3
"1413"	"1"	"crudeltà"	1
"1414"	"1"	"occhialere"	3
"1415"	"1"	"coraggio"	3
"1416"	"1"	"menare"	1
"1417"	"1"	"rissare"	1
"1418"	"1"	"trichina"	1
"1419"	"1"	"attacco"	1
"1420"	"1"	"sconcerto"	1
"1421"	"1"	"siccome"	6
"1422"	"1"	"voglia"	3
"1423"	"1"	"gesto"	1
"1424"	"1"	"eroico"	2
"1425"	"1"	"Davide"	1
"1426"	"1"	"superare"	8
"1427"	"1"	"Golia"	1
"1428"	"1"	"lotta"	1
"1429"	"1"	"sorpreso"	3
"1430"	"1"	"ringraziamento"	1
"1431"	"1"	"sorridere"	3
"1432"	"1"	"rivelare"	1
"1433"	"1"	"nessun"	1
"1434"	"1"	"anzi"	9
"1435"	"1"	"spallo"	1
"1436"	"1"	"perchÃ¨"	16
"1437"	"1"	"slogare"	1
"1438"	"1"	"caviglia"	1
"1439"	"1"	"dolore"	3
"1440"	"1"	"camminare"	5
"1441"	"1"	"rimproverato"	1
"1442"	"1"	"salvatore"	6
"1443"	"1"	"poliziotto"	2
"1444"	"1"	"ciÃ²"	2
"1445"	"1"	"dedurre"	1
"1446"	"1"	"consiglio"	8
"1447"	"1"	"importante"	23
"1448"	"1"	"bisognare"	7
"1449"	"1"	"agire"	1
"1450"	"1"	"basso"	3
"1451"	"1"	"guadagnare"	1
"1452"	"1"	"comune"	3
"1453"	"1"	"mezzo"	14
"1454"	"1"	"trasporto"	2
"1455"	"1"	"piÃ¹"	28
"1456"	"1"	"pubblico"	4
"1457"	"1"	"concentrare"	9
"1458"	"1"	"stazioni"	1
"1459"	"1"	"aduno"	1
"1460"	"1"	"ciondo"	1
"1461"	"1"	"rubano"	1
"1462"	"1"	"denaro"	1
"1463"	"1"	"raggirare"	1
"1464"	"1"	"attentamente"	1
"1465"	"1"	"cogliere"	2
"1466"	"1"	"gio"	4
"1467"	"1"	"Ã"	3
"1468"	"1"	"moltitudine"	1
"1469"	"1"	"provocare"	4
"1470"	"1"	"tale"	7
"1471"	"1"	"pomeriggo"	1
"1472"	"1"	"varietÃ"	1
"1473"	"1"	"lavoratore"	1
"1474"	"1"	"imprenditore"	1
"1475"	"1"	"anziano"	11
"1476"	"1"	"sostanzialmente"	1
"1477"	"1"	"incivile"	1
"1478"	"1"	"lordume"	1
"1479"	"1"	"massa"	1
"1480"	"1"	"butta"	1
"1481"	"1"	"contare"	2
"1482"	"1"	"marciapiede"	1
"1483"	"1"	"disavventura"	1
"1484"	"1"	"avvenire"	1
"1485"	"1"	"fuggire"	2
"1486"	"1"	"chiosco"	1
"1487"	"1"	"risalto"	1
"1488"	"1"	"confuso"	2
"1489"	"1"	"atmosfera"	2
"1490"	"1"	"affare"	4
"1491"	"1"	"semplicemente"	6
"1492"	"1"	"sÃ¬"	2
"1493"	"1"	"disoccupato"	1
"1494"	"1"	"menzionato"	1
"1495"	"1"	"ambiente"	2
"1496"	"1"	"visibili"	1
"1497"	"1"	"comunale"	7
"1498"	"1"	"abitare"	5
"1499"	"1"	"ur"	1
"1500"	"1"	"Arnold"	1
"1501"	"1"	"Schwarzeneger"	1
"1502"	"1"	"poveretto"	2
"1503"	"1"	"coscienza"	2
"1504"	"1"	"pugilato"	1
"1505"	"1"	"reagire"	5
"1506"	"1"	"stendere"	1
"1507"	"1"	"montagna"	6
"1508"	"1"	"muscolo"	8
"1509"	"1"	"ringeaziamento"	1
"1510"	"1"	"quelle"	1
"1511"	"1"	"parolaccia"	1
"1512"	"1"	"delizioso"	2
"1513"	"1"	"boccuccia"	1
"1514"	"1"	"rimprovero"	2
"1515"	"1"	"Mancare"	1
"1516"	"1"	"xxxxxxxxxx"	1
"1517"	"1"	"midere"	1
"1518"	"1"	"stipendio"	1
"1519"	"1"	"potrÃ²"	1
"1520"	"1"	"spensierato"	1
"1521"	"1"	"faticare"	1
"1522"	"1"	"mente"	6
"1523"	"1"	"lontano"	4
"1524"	"1"	"naviga"	1
"1525"	"1"	"maro"	2
"1526"	"1"	"caldo"	8
"1527"	"1"	"portereo"	1
"1528"	"1"	"impazzire"	2
"1529"	"1"	"giochare"	1
"1530"	"1"	"vento"	5
"1531"	"1"	"vocina"	1
"1532"	"1"	"comando"	1
"1533"	"1"	"Cavolo"	1
"1534"	"1"	"davvero"	10
"1535"	"1"	"darevero"	1
"1536"	"1"	"sciolto"	3
"1537"	"1"	"licenzio"	1
"1538"	"1"	"andrÃ²"	1
"1539"	"1"	"deserto"	2
"1540"	"1"	"comanderÃ"	1
"1541"	"1"	"riposo"	4
"1542"	"1"	"meraviglioso"	5
"1543"	"1"	"grigio"	2
"1544"	"1"	"azzuro"	2
"1545"	"1"	"splendente"	1
"1546"	"1"	"mugnaio"	1
"1547"	"1"	"capitana"	1
"1548"	"1"	"giovanne"	1
"1549"	"1"	"invencere"	2
"1550"	"1"	"urgente"	2
"1551"	"1"	"scomparire"	1
"1552"	"1"	"Quell"	2
"1553"	"1"	"preferire"	24
"1554"	"1"	"sudare"	1
"1555"	"1"	"sciocchezza"	2
"1556"	"1"	"intanto"	4
"1557"	"1"	"Herkules"	1
"1558"	"1"	"cuore"	3
"1559"	"1"	"tetuaggio"	1
"1560"	"1"	"perÃ²"	13
"1561"	"1"	"inutilmente"	1
"1562"	"1"	"difficoltà"	3
"1563"	"1"	"confondere"	1
"1564"	"1"	"sgridare"	7
"1565"	"1"	"uccidere"	1
"1566"	"1"	"capitÃ²"	1
"1567"	"1"	"emozionante"	1
"1568"	"1"	"ordine"	2
"1569"	"1"	"Valentino"	6
"1570"	"1"	"educazione"	2
"1571"	"1"	"andÃ²"	1
"1572"	"1"	"sabato"	3
"1573"	"1"	"pÃ²"	1
"1574"	"1"	"esercitare"	1
"1575"	"1"	"faticoso"	4
"1576"	"1"	"messo"	1
"1577"	"1"	"cominciÃ²"	3
"1578"	"1"	"percorrere"	1
"1579"	"1"	"disperato"	2
"1580"	"1"	"alzÃ²"	2
"1581"	"1"	"immediatamente"	3
"1582"	"1"	"combattere"	4
"1583"	"1"	"prepotente"	6
"1584"	"1"	"battaglia"	1
"1585"	"1"	"suspense"	1
"1586"	"1"	"riuscÃ¬"	1
"1587"	"1"	"salvÃ²"	1
"1588"	"1"	"avvenimento"	1
"1589"	"1"	"innamorÃ²"	1
"1590"	"1"	"ammirare"	4
"1591"	"1"	"incredibile"	1
"1592"	"1"	"festeggiare"	2
"1593"	"1"	"nozza"	3
"1594"	"1"	"Michele"	5
"1595"	"1"	"impiegato"	1
"1596"	"1"	"S"	1
"1597"	"1"	"largo"	2
"1598"	"1"	"manovrare"	1
"1599"	"1"	"divertire"	11
"1600"	"1"	"mondo"	13
"1601"	"1"	"OltracciÃ²"	1
"1602"	"1"	"bordo"	4
"1603"	"1"	"Michelle"	4
"1604"	"1"	"meravigliso"	1
"1605"	"1"	"trasformare"	1
"1606"	"1"	"realtÃ"	3
"1607"	"1"	"crudele"	2
"1608"	"1"	"soleggiare"	1
"1609"	"1"	"arrabbiÃ²"	1
"1610"	"1"	"ragione"	3
"1611"	"1"	"oscuro"	1
"1612"	"1"	"convertÃ²"	1
"1613"	"1"	"splendido"	2
"1614"	"1"	"irreparabilmente"	1
"1615"	"1"	"ingiuriÃ²"	1
"1616"	"1"	"costringere"	5
"1617"	"1"	"riotnare"	1
"1618"	"1"	"umora"	5
"1619"	"1"	"sfuggire"	3
"1620"	"1"	"proprietario"	1
"1621"	"1"	"imbandire"	1
"1622"	"1"	"allontanare"	1
"1623"	"1"	"stupito"	1
"1624"	"1"	"viaggitore"	1
"1625"	"1"	"scioccare"	1
"1626"	"1"	"appassionato"	1
"1627"	"1"	"operaio"	1
"1628"	"1"	"sorprendere"	2
"1629"	"1"	"marinaio"	1
"1630"	"1"	"mozzicone"	1
"1631"	"1"	"distrattamente"	1
"1632"	"1"	"xxxxxxxxx"	1
"1633"	"1"	"sfondo"	3
"1634"	"1"	"destra"	6
"1635"	"1"	"patire"	1
"1636"	"1"	"orologio"	2
"1637"	"1"	"discuttere"	1
"1638"	"1"	"indicare"	3
"1639"	"1"	"esatto"	1
"1640"	"1"	"intento"	2
"1641"	"1"	"trascinare"	2
"1642"	"1"	"infastidire"	1
"1643"	"1"	"visione"	1
"1644"	"1"	"immediato"	1
"1645"	"1"	"giustizia"	3
"1646"	"1"	"evidenza"	1
"1647"	"1"	"mandare"	6
"1648"	"1"	"tappeto"	1
"1649"	"1"	"tappetto"	1
"1650"	"1"	"reazione"	1
"1651"	"1"	"mostrare"	1
"1652"	"1"	"infine"	1
"1653"	"1"	"risentito"	1
"1654"	"1"	"risentimento"	1
"1655"	"1"	"partner"	1
"1656"	"1"	"attonire"	1
"1657"	"1"	"occasionale"	1
"1658"	"1"	"giustiziere"	1
"1659"	"1"	"femminile"	3
"1660"	"1"	"giÃ"	5
"1661"	"1"	"tizio"	1
"1662"	"1"	"anch"	2
"1663"	"1"	"lode"	1
"1664"	"1"	"Affermare"	1
"1665"	"1"	"preciso"	5
"1666"	"1"	"presente"	2
"1667"	"1"	"locomotiva"	1
"1668"	"1"	"Co"	9
"1669"	"1"	"Ã¨"	27
"1670"	"1"	"conduttore"	1
"1671"	"1"	"don"	1
"1672"	"1"	"viaggiatore"	3
"1673"	"1"	"abbracciare"	6
"1674"	"1"	"nient"	2
"1675"	"1"	"sÃ©"	3
"1676"	"1"	"sfruttare"	3
"1677"	"1"	"prudente"	1
"1678"	"1"	"spinta"	2
"1679"	"1"	"stabilitÃ"	1
"1680"	"1"	"causare"	5
"1681"	"1"	"caduto"	1
"1682"	"1"	"tavolino"	5
"1683"	"1"	"posteriore"	1
